Time,ZONE1_1_E88E189A:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE1_1_E88E189A:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE1_1_E88E189A:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE1_1_E88E189A:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE2_2_876ACDA9:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE2_2_876ACDA9:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE2_2_876ACDA9:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE2_2_876ACDA9:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.708406E+03,2.879487E+02,1.450333E-01,2.712822E-02,1.874199E+03,2.203257E+02,1.003810E-01,2.075726E-02
00:20:00,2.711624E+03,2.706202E+02,1.452056E-01,2.549563E-02,1.875193E+03,2.077053E+02,1.004342E-01,1.956825E-02
00:30:00,2.714830E+03,2.535240E+02,1.453772E-01,2.388494E-02,1.876187E+03,1.952053E+02,1.004875E-01,1.839059E-02
00:40:00,2.718032E+03,2.366495E+02,1.455487E-01,2.229514E-02,1.877189E+03,1.828253E+02,1.005411E-01,1.722423E-02
00:50:00,2.721235E+03,2.199903E+02,1.457202E-01,2.072562E-02,1.878201E+03,1.705672E+02,1.005953E-01,1.606937E-02
01:00:00,2.724443E+03,2.035430E+02,1.458919E-01,1.917608E-02,1.879228E+03,1.584314E+02,1.006503E-01,1.492601E-02
01:10:00,2.726298E+03,1.893498E+02,1.459912E-01,1.783889E-02,1.881037E+03,1.492150E+02,1.007472E-01,1.405771E-02
01:20:00,2.727965E+03,1.757008E+02,1.460805E-01,1.655298E-02,1.882681E+03,1.403726E+02,1.008352E-01,1.322465E-02
01:30:00,2.729529E+03,1.625372E+02,1.461643E-01,1.531281E-02,1.884232E+03,1.318644E+02,1.009183E-01,1.242308E-02
01:40:00,2.731013E+03,1.498469E+02,1.462438E-01,1.411722E-02,1.885714E+03,1.236741E+02,1.009977E-01,1.165144E-02
01:50:00,2.732437E+03,1.376209E+02,1.463200E-01,1.296539E-02,1.887140E+03,1.157913E+02,1.010741E-01,1.090879E-02
02:00:00,2.733799E+03,1.258516E+02,1.463930E-01,1.185658E-02,1.888511E+03,1.082122E+02,1.011475E-01,1.019475E-02
02:10:00,2.734774E+03,1.146842E+02,1.464452E-01,1.080448E-02,1.889502E+03,1.011353E+02,1.012006E-01,9.528024E-03
02:20:00,2.735673E+03,1.037990E+02,1.464933E-01,9.778964E-03,1.890425E+03,9.424148E+01,1.012500E-01,8.878546E-03
02:30:00,2.736519E+03,9.318414E+01,1.465386E-01,8.778922E-03,1.891298E+03,8.752065E+01,1.012968E-01,8.245366E-03
02:40:00,2.737325E+03,8.283331E+01,1.465818E-01,7.803757E-03,1.892133E+03,8.096751E+01,1.013415E-01,7.627985E-03
02:50:00,2.738101E+03,7.274201E+01,1.466233E-01,6.853045E-03,1.892939E+03,7.457851E+01,1.013846E-01,7.026070E-03
03:00:00,2.738865E+03,6.290693E+01,1.466642E-01,5.926473E-03,1.893733E+03,6.835118E+01,1.014272E-01,6.439386E-03
03:10:00,2.739443E+03,5.330454E+01,1.466952E-01,5.021825E-03,1.894345E+03,6.231583E+01,1.014600E-01,5.870789E-03
03:20:00,2.739997E+03,4.377369E+01,1.467248E-01,4.123919E-03,1.894933E+03,5.631277E+01,1.014915E-01,5.305235E-03
03:30:00,2.740533E+03,3.430750E+01,1.467536E-01,3.232106E-03,1.895505E+03,5.033678E+01,1.015221E-01,4.742233E-03
03:40:00,2.741055E+03,2.490219E+01,1.467815E-01,2.346031E-03,1.896063E+03,4.438507E+01,1.015520E-01,4.181519E-03
03:50:00,2.741564E+03,1.678824E+01,1.468088E-01,1.581615E-03,1.896608E+03,3.845580E+01,1.015812E-01,3.622919E-03
04:00:00,2.742062E+03,1.022484E+01,1.468355E-01,9.632786E-04,1.897143E+03,3.254765E+01,1.016098E-01,3.066310E-03
04:10:00,2.742172E+03,5.370912E+00,1.468413E-01,5.059914E-04,1.897297E+03,2.714141E+01,1.016181E-01,2.556987E-03
04:20:00,2.742208E+03,2.057791E+00,1.468432E-01,1.938635E-04,1.897387E+03,2.193538E+01,1.016229E-01,2.066526E-03
04:30:00,2.742197E+03,2.713356E-01,1.468427E-01,2.556237E-05,1.897436E+03,1.691575E+01,1.016255E-01,1.593627E-03
04:40:00,2.742147E+03,0.000000E+00,1.468400E-01,0.000000E+00,1.897450E+03,1.197549E+01,1.016263E-01,1.128206E-03
04:50:00,2.742064E+03,0.000000E+00,1.468355E-01,0.000000E+00,1.897437E+03,7.985347E+00,1.016256E-01,7.522960E-04
05:00:00,2.741953E+03,0.000000E+00,1.468296E-01,0.000000E+00,1.897399E+03,4.941059E+00,1.016236E-01,4.654948E-04
05:10:00,2.740775E+03,0.000000E+00,1.467665E-01,0.000000E+00,1.896324E+03,2.524562E+00,1.015660E-01,2.378377E-04
05:20:00,2.739447E+03,0.000000E+00,1.466955E-01,0.000000E+00,1.895121E+03,8.754050E-01,1.015016E-01,8.247140E-05
