filename,site,size,footprint,height,num_stories,num_adiabatic,inf_rate,orientation,WWR,frame,polyiso_t,cellulose_t,setback,rear_setback,side_setback,structure_setback,assembly_r,area_buildable,surf_area,volume,surf_vol_ratio,EUI,carbon,kgCO2e
n_10_5_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.1,3,1,9.25,1,0,5,5,7.351032352,2225.954944,967.1889137,2000,0.483594457,130.214,1035.476228,0.135669
n_10_5_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.1,3,1,9.25,1,0,5,5,7.351032352,2225.954944,967.1889137,2000,0.483594457,130.214,1035.476228,0.135669
n_10_5_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.1,3,1,9.25,0,5,5,5,7.351032352,1972.217303,970.726696,2000,0.485363348,130.639,1038.861678,0.135669
n_10_5_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.1,3,1,9.25,0,5,5,5,7.351032352,1972.217303,970.726696,2000,0.485363348,130.639,1038.861678,0.135669
n_10_5_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.1,3,1,9.25,0,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,131.065,1042.249649,0.135669
n_10_5_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.1,3,1,9.25,1,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,131.065,1042.249649,0.135669
n_10_5_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.1,3,1,9.25,0,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,131.065,1042.249649,0.135669
n_10_5_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.1,3,1,9.25,1,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,131.065,1042.249649,0.135669
n_10_4_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.1,3,0,9.25,1,0,5,5,6.118260341,2225.954944,967.1889137,2000,0.483594457,131.255,1043.754573,0.135669
n_10_4_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.1,3,0,9.25,1,0,5,5,6.118260341,2225.954944,967.1889137,2000,0.483594457,131.255,1043.754573,0.135669
n_10_4_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.1,3,0,9.25,0,5,5,5,6.118260341,1972.217303,970.726696,2000,0.485363348,131.728,1047.515624,0.135669
n_10_4_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.1,3,0,9.25,0,5,5,5,6.118260341,1972.217303,970.726696,2000,0.485363348,131.728,1047.515624,0.135669
n_10_4_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.1,3,0,9.25,0,0,5,5,6.118260341,810.1583246,965.841871,2000,0.482920935,132.154,1050.903594,0.135669
n_10_4_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.1,3,0,9.25,1,0,5,5,6.118260341,810.1583246,965.841871,2000,0.482920935,132.154,1050.903594,0.135669
n_10_4_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.1,3,0,9.25,0,0,5,5,6.118260341,810.1583246,965.841871,2000,0.482920935,132.154,1050.903594,0.135669
n_10_4_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.1,3,0,9.25,1,0,5,5,6.118260341,810.1583246,965.841871,2000,0.482920935,132.154,1050.903594,0.135669
n_10_3_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.1,2,0,7.25,1,0,5,5,4.937546531,2225.954944,967.1889137,2000,0.483594457,132.863,1056.547691,0.135669
n_10_3_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.1,2,0,7.25,1,0,5,5,4.937546531,2225.954944,967.1889137,2000,0.483594457,132.863,1056.547691,0.135669
n_10_3_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.1,2,0,7.25,0,5,5,5,4.937546531,1972.217303,970.726696,2000,0.485363348,133.336,1060.308742,0.135669
n_10_3_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.1,2,0,7.25,0,5,5,5,4.937546531,1972.217303,970.726696,2000,0.485363348,133.336,1060.308742,0.135669
n_10_5_0_1_0_1,1,200,200,10,1,1,0.00059,1,0.1,3,1,9.25,0,5,5,5,7.351032352,1050.646485,991.7655344,2000,0.495882767,133.787,1063.890815,0.135669
n_10_5_1_1_0_1,1,200,200,10,1,1,0.00015,1,0.1,3,1,9.25,0,5,5,5,7.351032352,1050.646485,991.7655344,2000,0.495882767,133.787,1063.890815,0.135669
n_10_3_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.1,2,0,7.25,0,0,5,5,4.937546531,810.1583246,965.841871,2000,0.482920935,133.81,1064.072313,0.135669
n_10_3_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.1,2,0,7.25,1,0,5,5,4.937546531,810.1583246,965.841871,2000,0.482920935,133.81,1064.072313,0.135669
