Time,ROOM_7_A720434D:SEATTLE-TACOMA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_7_A720434D:SEATTLE-TACOMA INTL AP JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],ROOM_7_A720434D:SEATTLE-TACOMA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_7_A720434D:SEATTLE-TACOMA INTL AP JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s]
00:10:00,9.555800E+03,0.000000E+00,5.117618E-01,0.000000E+00
00:20:00,9.561980E+03,0.000000E+00,5.120927E-01,0.000000E+00
00:30:00,9.568108E+03,0.000000E+00,5.124209E-01,0.000000E+00
00:40:00,9.574212E+03,0.000000E+00,5.127478E-01,0.000000E+00
00:50:00,9.580301E+03,0.000000E+00,5.130739E-01,0.000000E+00
01:00:00,9.586382E+03,0.000000E+00,5.133995E-01,0.000000E+00
01:10:00,9.589005E+03,0.000000E+00,5.135399E-01,0.000000E+00
01:20:00,9.591015E+03,0.000000E+00,5.136476E-01,0.000000E+00
01:30:00,9.592861E+03,0.000000E+00,5.137466E-01,0.000000E+00
01:40:00,9.594643E+03,0.000000E+00,5.138420E-01,0.000000E+00
01:50:00,9.596386E+03,0.000000E+00,5.139354E-01,0.000000E+00
02:00:00,9.598105E+03,0.000000E+00,5.140275E-01,0.000000E+00
02:10:00,9.599104E+03,0.000000E+00,5.140809E-01,0.000000E+00
02:20:00,9.600008E+03,0.000000E+00,5.141294E-01,0.000000E+00
02:30:00,9.600887E+03,0.000000E+00,5.141765E-01,0.000000E+00
02:40:00,9.601752E+03,0.000000E+00,5.142228E-01,0.000000E+00
02:50:00,9.602608E+03,0.000000E+00,5.142686E-01,0.000000E+00
03:00:00,9.603458E+03,0.000000E+00,5.143141E-01,0.000000E+00
03:10:00,9.603994E+03,0.000000E+00,5.143428E-01,0.000000E+00
03:20:00,9.604480E+03,0.000000E+00,5.143689E-01,0.000000E+00
03:30:00,9.604939E+03,0.000000E+00,5.143935E-01,0.000000E+00
03:40:00,9.605382E+03,0.000000E+00,5.144172E-01,0.000000E+00
03:50:00,9.605816E+03,0.000000E+00,5.144404E-01,0.000000E+00
04:00:00,9.606245E+03,0.000000E+00,5.144634E-01,0.000000E+00
04:10:00,9.605884E+03,0.000000E+00,5.144440E-01,0.000000E+00
04:20:00,9.605317E+03,0.000000E+00,5.144137E-01,0.000000E+00
04:30:00,9.604658E+03,0.000000E+00,5.143784E-01,0.000000E+00
04:40:00,9.603945E+03,0.000000E+00,5.143403E-01,0.000000E+00
04:50:00,9.603202E+03,0.000000E+00,5.143005E-01,0.000000E+00
05:00:00,9.602440E+03,0.000000E+00,5.142597E-01,0.000000E+00
05:10:00,9.599572E+03,0.000000E+00,5.141061E-01,0.000000E+00
05:20:00,9.596361E+03,0.000000E+00,5.139342E-01,0.000000E+00
05:30:00,9.593037E+03,0.000000E+00,5.137563E-01,0.000000E+00
05:40:00,9.589647E+03,0.000000E+00,5.135747E-01,0.000000E+00
05:50:00,9.586218E+03,0.000000E+00,5.133911E-01,0.000000E+00
06:00:00,9.582766E+03,0.000000E+00,5.132062E-01,0.000000E+00
06:10:00,9.578017E+03,1.051849E+01,5.129520E-01,1.014293E-03
06:20:00,9.573151E+03,1.372280E+02,5.126914E-01,1.295302E-02
06:30:00,9.568276E+03,3.030703E+02,5.124304E-01,2.857871E-02
06:40:00,9.563420E+03,5.346600E+02,5.121704E-01,5.039954E-02
06:50:00,9.558575E+03,8.338802E+02,5.119109E-01,7.859346E-02
07:00:00,9.553735E+03,1.197035E+03,5.116517E-01,1.128122E-01
07:10:00,9.551185E+03,1.618779E+03,5.115151E-01,1.525288E-01
07:20:00,9.548910E+03,1.984080E+03,5.113933E-01,1.869508E-01
07:30:00,9.546683E+03,2.364963E+03,5.112740E-01,2.228411E-01
07:40:00,9.544460E+03,2.733371E+03,5.111548E-01,2.575557E-01
07:50:00,9.542241E+03,3.088625E+03,5.110359E-01,2.910299E-01
08:00:00,9.540025E+03,3.435156E+03,5.109171E-01,3.236813E-01
08:10:00,9.545984E+03,3.764212E+03,5.112362E-01,3.546857E-01
08:20:00,9.552982E+03,4.090195E+03,5.116107E-01,3.854003E-01
08:30:00,9.560331E+03,4.417148E+03,5.120039E-01,4.162062E-01
08:40:00,9.567860E+03,4.746505E+03,5.124067E-01,4.472388E-01
08:50:00,9.575495E+03,5.076381E+03,5.128152E-01,4.783204E-01
09:00:00,9.583192E+03,5.404793E+03,5.132271E-01,5.092642E-01
09:10:00,9.586058E+03,5.730584E+03,5.133802E-01,5.399609E-01
09:20:00,9.588394E+03,6.047430E+03,5.135051E-01,5.698148E-01
09:30:00,9.590587E+03,6.354033E+03,5.136224E-01,5.987035E-01
09:40:00,9.592722E+03,6.648001E+03,5.137366E-01,6.264018E-01
09:50:00,9.594822E+03,6.927521E+03,5.138489E-01,6.527387E-01
10:00:00,9.596901E+03,7.191159E+03,5.139602E-01,6.775792E-01
10:10:00,9.596605E+03,7.440168E+03,5.139443E-01,7.010412E-01
10:20:00,9.596051E+03,7.671769E+03,5.139145E-01,7.228629E-01
10:30:00,9.595375E+03,7.884859E+03,5.138783E-01,7.429406E-01
