Time,ZONE1_1_892DF2FD:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE1_1_892DF2FD:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE1_1_892DF2FD:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE1_1_892DF2FD:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE2_2_AFAD5749:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE2_2_AFAD5749:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE2_2_AFAD5749:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE2_2_AFAD5749:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.796774E+03,0.000000E+00,1.498532E-01,0.000000E+00,3.409626E+03,0.000000E+00,1.826757E-01,0.000000E+00
00:20:00,2.802956E+03,0.000000E+00,1.501844E-01,0.000000E+00,3.416365E+03,0.000000E+00,1.830368E-01,0.000000E+00
00:30:00,2.809066E+03,0.000000E+00,1.505117E-01,0.000000E+00,3.423022E+03,0.000000E+00,1.833935E-01,0.000000E+00
00:40:00,2.815131E+03,0.000000E+00,1.508367E-01,0.000000E+00,3.429636E+03,0.000000E+00,1.837478E-01,0.000000E+00
00:50:00,2.821164E+03,0.000000E+00,1.511600E-01,0.000000E+00,3.436225E+03,0.000000E+00,1.841008E-01,0.000000E+00
01:00:00,2.827174E+03,0.000000E+00,1.514820E-01,0.000000E+00,3.442798E+03,0.000000E+00,1.844530E-01,0.000000E+00
01:10:00,2.830076E+03,0.000000E+00,1.516375E-01,0.000000E+00,3.445837E+03,0.000000E+00,1.846158E-01,0.000000E+00
01:20:00,2.832508E+03,0.000000E+00,1.517678E-01,0.000000E+00,3.448251E+03,0.000000E+00,1.847451E-01,0.000000E+00
01:30:00,2.834701E+03,0.000000E+00,1.518853E-01,0.000000E+00,3.450397E+03,0.000000E+00,1.848601E-01,0.000000E+00
01:40:00,2.836737E+03,0.000000E+00,1.519945E-01,0.000000E+00,3.452395E+03,0.000000E+00,1.849672E-01,0.000000E+00
01:50:00,2.838667E+03,0.000000E+00,1.520979E-01,0.000000E+00,3.454310E+03,0.000000E+00,1.850699E-01,0.000000E+00
02:00:00,2.840521E+03,0.000000E+00,1.521972E-01,0.000000E+00,3.456180E+03,0.000000E+00,1.851700E-01,0.000000E+00
02:10:00,2.841700E+03,0.000000E+00,1.522604E-01,0.000000E+00,3.457322E+03,0.000000E+00,1.852312E-01,0.000000E+00
02:20:00,2.842755E+03,0.000000E+00,1.523169E-01,0.000000E+00,3.458333E+03,0.000000E+00,1.852854E-01,0.000000E+00
02:30:00,2.843739E+03,0.000000E+00,1.523696E-01,0.000000E+00,3.459288E+03,0.000000E+00,1.853366E-01,0.000000E+00
02:40:00,2.844685E+03,0.000000E+00,1.524204E-01,0.000000E+00,3.460227E+03,0.000000E+00,1.853869E-01,0.000000E+00
02:50:00,2.845607E+03,0.000000E+00,1.524697E-01,0.000000E+00,3.461156E+03,0.000000E+00,1.854367E-01,0.000000E+00
03:00:00,2.846506E+03,0.000000E+00,1.525179E-01,0.000000E+00,3.462078E+03,0.000000E+00,1.854861E-01,0.000000E+00
03:10:00,2.847069E+03,0.000000E+00,1.525481E-01,0.000000E+00,3.462632E+03,0.000000E+00,1.855158E-01,0.000000E+00
03:20:00,2.847583E+03,0.000000E+00,1.525756E-01,0.000000E+00,3.463142E+03,0.000000E+00,1.855431E-01,0.000000E+00
03:30:00,2.848073E+03,0.000000E+00,1.526019E-01,0.000000E+00,3.463635E+03,0.000000E+00,1.855695E-01,0.000000E+00
03:40:00,2.848545E+03,0.000000E+00,1.526272E-01,0.000000E+00,3.464115E+03,0.000000E+00,1.855952E-01,0.000000E+00
03:50:00,2.849004E+03,0.000000E+00,1.526517E-01,0.000000E+00,3.464585E+03,0.000000E+00,1.856204E-01,0.000000E+00
04:00:00,2.849451E+03,0.000000E+00,1.526757E-01,0.000000E+00,3.465050E+03,0.000000E+00,1.856453E-01,0.000000E+00
04:10:00,2.849202E+03,0.000000E+00,1.526624E-01,0.000000E+00,3.464695E+03,0.000000E+00,1.856263E-01,0.000000E+00
04:20:00,2.848794E+03,0.000000E+00,1.526405E-01,0.000000E+00,3.464133E+03,0.000000E+00,1.855962E-01,0.000000E+00
04:30:00,2.848297E+03,0.000000E+00,1.526139E-01,0.000000E+00,3.463466E+03,0.000000E+00,1.855604E-01,0.000000E+00
04:40:00,2.847738E+03,0.000000E+00,1.525840E-01,0.000000E+00,3.462725E+03,0.000000E+00,1.855207E-01,0.000000E+00
04:50:00,2.847133E+03,0.000000E+00,1.525515E-01,0.000000E+00,3.461936E+03,0.000000E+00,1.854785E-01,0.000000E+00
05:00:00,2.846493E+03,0.000000E+00,1.525172E-01,0.000000E+00,3.461114E+03,0.000000E+00,1.854345E-01,0.000000E+00
05:10:00,2.843967E+03,0.000000E+00,1.523819E-01,0.000000E+00,3.458106E+03,0.000000E+00,1.852733E-01,0.000000E+00
05:20:00,2.841110E+03,0.000000E+00,1.522288E-01,0.000000E+00,3.454656E+03,0.000000E+00,1.850885E-01,0.000000E+00
05:30:00,2.838087E+03,0.000000E+00,1.520669E-01,0.000000E+00,3.451036E+03,0.000000E+00,1.848945E-01,0.000000E+00
05:40:00,2.834962E+03,0.000000E+00,1.518995E-01,0.000000E+00,3.447326E+03,0.000000E+00,1.846958E-01,0.000000E+00
05:50:00,2.831776E+03,0.000000E+00,1.517288E-01,0.000000E+00,3.443584E+03,0.000000E+00,1.844953E-01,0.000000E+00
